"YYYY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS","TIDE"
2000,1,1,0,315,0.8,1.5,0.54,10,4.55,999,1019.2,1.1,5.9,-3.6,99,NA
2000,1,1,1,271,0.7,1.9,0.53,4.55,4.61,999,1020.3,1.2,5.9,-3.6,99,NA
2000,1,1,2,232,2.3,3.1,0.52,4.76,4.78,999,1020.4,1.5,5.8,-3.3,99,NA
2000,1,1,3,236,2.9,3.8,0.52,10,4.86,999,1021,1.3,5.9,-3.6,99,NA
2000,1,1,4,232,4.1,4.9,0.5,10,5,999,1021.2,0.9,5.9,-4,99,NA
2000,1,1,5,228,5.4,6.5,0.46,4.55,4.94,999,1021.5,0.7,5.9,-6.5,99,NA
2000,1,1,6,240,4.6,5.5,0.5,10,5.23,999,1021.8,0.5,5.9,-5.2,99,NA
2000,1,1,7,235,4.8,5.5,0.48,10,4.65,999,1022,0.4,5.9,-4.9,99,NA
2000,1,1,8,242,5,6.2,0.44,10,5.18,999,1022.4,0.5,5.9,-4.6,99,NA
2000,1,1,9,244,4,4.8,0.44,10,5.08,999,1022.5,0.9,5.9,-4.5,99,NA
2000,1,1,10,244,4.2,5.3,0.47,9.09,4.36,999,1022.5,0.3,5.9,-4.7,99,NA
2000,1,1,11,244,5,5.8,0.43,9.09,4.4,999,1022.8,1.1,5.9,-4.1,99,NA
2000,1,1,12,228,5.7,7.1,0.42,5.26,4.32,999,1023.7,0.5,5.9,-4.6,99,NA
2000,1,1,13,223,6,7.1,0.43,10,4.22,999,1024.1,1.2,5.9,-3.5,99,NA
2000,1,1,14,229,6.8,7.9,0.43,2.56,3.65,999,1024.9,1.6,5.9,-2.2,99,NA
2000,1,1,15,223,5.3,6.1,0.47,2.7,3.44,999,1025,1.9,5.9,-1.5,99,NA
2000,1,1,16,204,6,7,0.32,10,5.26,999,1023.9,3.1,5.9,-0.8,99,NA
2000,1,1,17,197,7.2,8.5,0.38,11.11,4.39,999,1022.6,4.3,5.9,-0.6,99,NA
2000,1,1,18,210,6.6,8.3,0.44,2.63,3.37,999,1022,5.7,5.9,-0.8,99,NA
2000,1,1,19,206,7.1,8.7,0.53,2.7,3.26,999,1021,6.7,5.9,0.2,99,NA
2000,1,1,20,198,6.8,8.1,0.55,2.94,3.37,999,1020.9,7.1,5.9,1.2,99,NA
2000,1,1,21,223,8.3,11,0.66,3.13,3.29,999,1021.2,7.7,5.9,1.6,99,NA
2000,1,1,22,205,7.8,10.3,0.71,3.33,3.39,999,1021.8,7.1,5.9,1.7,99,NA
2000,1,1,23,208,8.2,10.2,0.65,3.13,3.34,999,1021.9,6.3,5.9,2.6,99,NA
2000,1,2,0,204,7.5,8.6,0.67,2.94,3.44,999,1022.4,5.5,5.9,2.5,99,NA
2000,1,2,1,205,6.4,7.6,0.55,2.86,3.33,999,1022.6,5.2,5.9,2.9,99,NA
2000,1,2,2,210,6.7,7.9,0.56,2.78,3.19,999,1022.6,5.2,5.9,3.2,99,NA
2000,1,2,3,215,6.1,7.1,0.48,2.78,3.21,999,1022.7,5.5,5.9,3.4,99,NA
2000,1,2,4,213,6.5,7.7,0.47,2.7,3.17,999,1022.7,5.5,5.9,3.5,99,NA
2000,1,2,5,219,5.9,7.1,0.42,2.63,3.28,999,1022.7,5.3,5.9,3.5,99,NA
2000,1,2,6,215,6.5,7.9,0.38,2.5,3.33,999,1022.4,5.2,5.9,3.5,99,NA
2000,1,2,7,220,6.3,7.4,0.4,2.7,3.16,999,1022.5,5.1,5.9,3.5,99,NA
2000,1,2,8,230,5.4,6.3,0.34,2.63,3.54,999,1022.6,4.8,5.9,3.3,99,NA
2000,1,2,9,220,4.3,4.9,0.27,9.09,4.84,999,1022.6,4.7,5.9,3,99,NA
2000,1,2,10,190,4.9,6.4,0.28,10,5.86,999,1022.7,4.6,5.9,3,99,NA
2000,1,2,11,188,1.4,2,0.27,10,5.24,999,1022.7,4.4,5.9,2.7,99,NA
2000,1,2,12,187,3.5,4.3,0.28,8.33,4.58,999,1022.6,4.7,5.9,2.9,99,NA
2000,1,2,13,180,3.8,4.6,0.27,10,4.71,999,1022.5,5.2,5.9,3.5,99,NA
2000,1,2,14,176,4.4,5.1,0.29,10,4.97,999,1022.5,5.6,5.9,3.9,99,NA
2000,1,2,15,133,1.9,2.5,0.26,10,4.9,999,1022,6,5.9,4.3,99,NA
2000,1,2,16,192,3.1,3.4,0.25,10,4.69,999,1021.7,6.4,5.9,4.6,99,NA
2000,1,2,17,148,2.7,3,0.26,10,4.83,999,1019.6,6.4,5.9,5,99,NA
2000,1,2,18,170,4.8,6.1,0.29,10,4.97,999,1018.1,7.4,5.9,6.2,99,NA
2000,1,2,19,192,4.9,5.4,0.26,10,5.42,999,1017.9,8.5,5.9,6.7,99,NA
2000,1,2,20,192,7,8.3,0.35,2.5,3.61,999,1016.7,9.9,5.9,6.7,99,NA
2000,1,2,21,195,8.2,9.5,0.58,2.7,3.16,999,1016.4,10.7,5.9,7.2,99,NA
2000,1,2,22,186,6.9,8.3,0.64,3.23,3.37,999,1016.3,10.2,5.9,6.8,99,NA
2000,1,2,23,183,7.8,8.8,0.65,3.33,3.43,999,1015.8,9.6,5.9,6.8,99,NA
2000,1,3,0,180,6.5,8.6,0.53,3.7,3.5,999,1015.6,9.2,5.9,6.7,99,NA
2000,1,3,1,197,6.1,7.1,0.54,3.57,3.45,999,1015.6,9.6,5.9,6.8,99,NA
